Id,SalePrice
1461,130813.29
1462,159367.89
1463,184816.7
1464,192874.38
1465,196779.94
1466,171440.8
1467,176058.19
1468,172800.36
1469,181154.78
1470,125966.98
1471,197981.03
1472,92423.58
1473,97094.71
1474,155910.4
1475,138173.86
1476,440031.1
1477,255985.9
1478,310418.03
1479,242142.84
1480,486420.06
1481,327346.56
1482,209184.83
1483,180149.97
1484,174897.61
1485,169465.69
1486,200528.03
1487,365107.78
1488,231245.22
1489,215490.77
1490,208698.38
1491,186034.31
1492,84710.21
1493,187436.36
1494,292477.3
1495,283965.53
1496,245414.9
1497,186681.64
1498,155516.5
1499,157879.44
1500,154340.11
1501,186903.23
1502,162499.11
1503,317897.88
1504,234857.89
1505,230261.66
1506,192219.48
1507,237859.72
1508,209860.56
1509,164635.94
1510,147954.11
1511,145761.52
1512,171878.4
1513,155151.31
1514,165901.23
1515,190141.86
1516,154719.2
1517,161420.69
1518,129150.57
1519,222410.33
1520,137724.56
1521,141273.28
1522,168048.55
1523,112291.81
1524,123792.89
1525,125574.1
1526,118415.945
1527,102632.81
1528,125331.195
1529,148307.33
1530,166127.05
1531,122990.88
1532,102017.4
1533,138464.27
1534,113118.3
1535,166157.86
1536,115219.95
1537,68966.99
1538,186519.14
1539,170064.23
1540,94735.34
1541,145789.08
1542,151569.02
1543,216965.42
1544,89295.305
1545,97345.586
1546,131603.61
1547,143029.52
1548,136269.44
1549,123459.164
1550,148746.05
1551,108497.555
1552,138413.08
1553,147715.81
1554,118050.516
1555,176085.44
1556,81689.195
1557,113248.2
1558,83294.4
1559,91797.36
1560,134828.81
1561,139814.5
1562,128492.42
1563,123616.5
1564,143377.12
1565,158907.03
1566,208321.66
1567,67038.84
1568,234773.06
1569,148536.67
1570,127961.39
1571,131561.78
1572,144589.1
1573,235340.3
1574,104624.484
1575,212238.11
1576,235638.86
1577,205954.22
1578,148732.44
1579,146455.61
1580,186853.19
1581,150472.47
1582,127099.02
1583,340527.72
1584,238032.11
